filename stability_measured stability_predicted
265-QH-Li.poscar_GaEuTbHg.vasp None 8.600653e-02
266-QH-Li.poscar_InTbDyHg.vasp None 9.408427e-02
267-QH-Li.poscar_InEuTbHg.vasp None 7.946568e-02
268-QH-Li.poscar_PdTbDyPt.vasp None 9.233537e-02
269-QH-Li.poscar_PdTbErPt.vasp None 8.922457e-02
270-QH-Li.poscar_PdTbHoPt.vasp None 9.026273e-02
271-QH-Li.poscar_RhPdTbDy.vasp None 9.696555e-02
272-QH-Li.poscar_RhPdTbEr.vasp None 8.296598e-02
273-QH-Li.poscar_RhPdTbHo.vasp None 8.508512e-02
274-QH-Li.poscar_RhTbDyPt.vasp None 8.700626e-02
275-QH-Li.poscar_RhTbErPt.vasp None 9.921604e-02
276-QH-Li.poscar_LiAlMnTc.vasp None 9.591743e-02
277-QH-Li.poscar_LiMnGaTc.vasp None 9.976051e-02
278-QH-Li.poscar_SiMnFeTc.vasp None 8.040071e-02
279-QH-Li.poscar_BeAlTiCo.vasp None 4.158388e-02
280-QH-Li.poscar_AlTiCuAu.vasp None 5.472412e-02
281-QH-Li.poscar_AlTiCoCu.vasp None 8.593741e-02
282-QH-Li.poscar_BeAlTiFe.vasp None 8.199208e-02
283-QH-Li.poscar_AlTiFeCo.vasp None -1.701384e-02
284-QH-Li.poscar_AlTiCrFe.vasp None 7.718054e-02
285-QH-Li.poscar_AlTiCoIr.vasp None 3.600871e-02
286-QH-Li.poscar_AlTiCuIr.vasp None 7.113790e-02
287-QH-Li.poscar_AlTiFeIr.vasp None 1.032939e-02
288-QH-Li.poscar_LiAlTiCo.vasp None 6.141085e-02
289-QH-Li.poscar_LiAlTiCu.vasp None 8.790919e-02
290-QH-Li.poscar_LiTiGeIr.vasp None -2.469699e-02
291-QH-Li.poscar_MgAlTiIr.vasp None 8.141784e-02
292-QH-Li.poscar_MgTiGaIr.vasp None 7.308261e-02
293-QH-Li.poscar_AlTiMnCo.vasp None 5.904105e-02
294-QH-Li.poscar_AlTiMnFe.vasp None 5.087719e-02
295-QH-Li.poscar_BeAlTiNi.vasp None 8.368170e-02
296-QH-Li.poscar_AlTiCoNi.vasp None 4.063180e-02
297-QH-Li.poscar_AlTiNiCu.vasp None 2.875632e-03
298-QH-Li.poscar_AlTiFeNi.vasp None 4.767482e-02
299-QH-Li.poscar_LiAlTiNi.vasp None -1.169546e-02
300-QH-Li.poscar_LiTiNiGa.vasp None -1.257632e-02
301-QH-Li.poscar_AlTiMnNi.vasp None 8.036562e-02
302-QH-Li.poscar_TiMnNiGa.vasp None 8.093820e-02
303-QH-Li.poscar_AlTiCoOs.vasp None 9.722067e-02
304-QH-Li.poscar_AlTiCrOs.vasp None 9.109888e-02
305-QH-Li.poscar_AlTiFeOs.vasp None 9.910342e-02
306-QH-Li.poscar_AlTiCuPd.vasp None 2.094088e-02
307-QH-Li.poscar_TiCuGaPd.vasp None 7.779782e-02
308-QH-Li.poscar_LiAlTiPd.vasp None 6.019130e-02
309-QH-Li.poscar_LiTiGaPd.vasp None 4.983891e-02
310-QH-Li.poscar_LiTiPdIn.vasp None 4.491882e-02
311-QH-Li.poscar_AlTiPtAu.vasp None 8.813960e-02
312-QH-Li.poscar_AlTiCuPt.vasp None 2.428102e-02
313-QH-Li.poscar_AlTiFePt.vasp None 9.749706e-02
314-QH-Li.poscar_LiAlTiPt.vasp None 2.620180e-02
315-QH-Li.poscar_LiTiGaPt.vasp None -2.893349e-02
316-QH-Li.poscar_LiTiInPt.vasp None 3.915343e-02
317-QH-Li.poscar_AlTiCuRh.vasp None 8.343420e-02
318-QH-Li.poscar_LiTiGeRh.vasp None 6.227504e-03
319-QH-Li.poscar_AlTiCoRu.vasp None 9.007545e-02
320-QH-Li.poscar_AlTiFeRu.vasp None 9.682882e-02
321-QH-Li.poscar_TiMnGaRu.vasp None 7.295360e-02
322-QH-Li.poscar_AgDyErTl.vasp None 8.143248e-02
323-QH-Li.poscar_CdDyErTl.vasp None 6.094602e-02
324-QH-Li.poscar_AgDyHoTl.vasp None 8.308735e-02
325-QH-Li.poscar_CdDyHoTl.vasp None 5.877648e-02
326-QH-Li.poscar_AgHoErTl.vasp None 9.058054e-02
327-QH-Li.poscar_CdHoErTl.vasp None 6.168710e-02
328-QH-Li.poscar_LiCuAgTl.vasp None 9.866772e-02
329-QH-Li.poscar_AgNdEuTl.vasp None 7.917891e-02
330-QH-Li.poscar_CdNdEuTl.vasp None 7.245020e-02
331-QH-Li.poscar_CdPmDyTl.vasp None 9.390826e-02
332-QH-Li.poscar_CdPmErTl.vasp None 9.850007e-02
333-QH-Li.poscar_AgPmEuTl.vasp None 7.375460e-02
334-QH-Li.poscar_CdPmEuTl.vasp None 7.593943e-02
335-QH-Li.poscar_CdPmHoTl.vasp None 9.566128e-02
336-QH-Li.poscar_PmHoHgTl.vasp None 9.868084e-02
337-QH-Li.poscar_AgNdPmTl.vasp None 9.309424e-02
338-QH-Li.poscar_CdNdPmTl.vasp None 6.958047e-02
339-QH-Li.poscar_NdPmHgTl.vasp None 8.719732e-02
340-QH-Li.poscar_CdPrDyTl.vasp None 9.908140e-02
341-QH-Li.poscar_AgPrEuTl.vasp None 7.765802e-02
342-QH-Li.poscar_CdPrEuTl.vasp None 7.106620e-02
343-QH-Li.poscar_PrHoHgTl.vasp None 9.794749e-02
344-QH-Li.poscar_AgPrNdTl.vasp None 9.739227e-02
345-QH-Li.poscar_CdPrNdTl.vasp None 7.946544e-02
346-QH-Li.poscar_PrNdHgTl.vasp None 9.138595e-02
347-QH-Li.poscar_CdPrPmTl.vasp None 7.137948e-02
